golden_id,mutation_id,mutant_id,generated,mutation_operator,short_mutation_description,expected_accessibility_effect,independent_mutation_verification,visual_preservation,PAC_result,PAC_failed_checkpoint,PAC_failure_count,PAC_detection,Acrobat_result,Acrobat_failed_rule,Acrobat_failure_count,Acrobat_detection,veraPDF_result,veraPDF_failed_rule,veraPDF_failure_count,veraPDF_detection,all_three_agree,agreement_pattern,interpretation_note
G03,M01,G03_M01,Yes,Structural reading-order swap,Creating/Using PDF/UA question list: swap /LI 149 0 R ('When is a PDF universally accessible?') and /LI 150 0 R ('What should PDF developers know?').,"The question list is exposed in a different, misleading order than the visible order.",Verified programmatically,No visual difference detected,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Yes,Missed/Missed/Missed,Survived all automated validators despite independent mutation verification.
G03,M02,G03_M02,Yes,Omit visible content from tag structure,Visible heading 'What is PDF/UA?' tagged as /H1.,The visible section heading is omitted from the assistive representation.,Verified programmatically,No visual difference detected,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Yes,Missed/Missed/Missed,Survived all automated validators despite independent mutation verification.
G03,M03,G03_M03,Yes,Incorrect heading level / skipped hierarchy,Visible heading 'PDF/UA makes the world a better place' tagged as /H1.,The heading remains visible but is exposed at an incorrect lower heading level.,Verified programmatically,No visual difference detected,Not compliant,Structure Elements,1,Detected,Failed,Headings: Appropriate nesting,1,Detected,Failed,ISO 14289-1:2014 7.4.2 test 1: heading hierarchy skips level,1,Detected,Yes,Detected/Detected/Detected,Detected consistently by all three validators.
G03,M04,G03_M04,Yes,Wrong marked-content association,Question list: swap marked-content associations of /LI 149 0 R and /LI 150 0 R without changing sibling order.,The first two questions remain ordered as tags but represent each other's visible content.,Verified programmatically,No visual difference detected,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Yes,Missed/Missed/Missed,Survived all automated validators despite independent mutation verification.
G03,M05,G03_M05,Yes,Internal MCID sequence reversal,"Definition paragraph for PDF/UA tagged as /P with multiple MCIDs [43, 44].",One paragraph exposes its internal marked-content chunks in the wrong sequence.,Verified programmatically,No visual difference detected,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Yes,Missed/Missed/Missed,Survived all automated validators despite independent mutation verification.
G04,M01,G04_M01,Yes,Structural reading-order swap,Chapter opening topic list: swap first two /LI children 1477 0 R ('An Overview of Maturation and Growth') and 1478 0 R ('Development of the Brain').,The chapter topic list is exposed with the second topic before the first.,Verified programmatically,No visual difference detected,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Yes,Missed/Missed/Missed,Survived all automated validators despite independent mutation verification.
G04,M02,G04_M02,Yes,Omit visible content from tag structure,Visible chapter topic text 'An Overview of Maturation and Growth' tagged as /P with MCID 1.,A meaningful visible chapter topic is omitted from the assistive representation.,Verified programmatically,No visual difference detected,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Yes,Missed/Missed/Missed,Survived all automated validators despite independent mutation verification.
G04,M03,G04_M03,Yes,Incorrect heading level / skipped hierarchy,Visible section heading 'An Overview of Maturation and Growth' tagged as /H2.,"The section remains visible but is exposed at the wrong hierarchy level, such as /H4.",Verified programmatically,No visual difference detected,Not compliant,Structure Elements,>=1,Detected,Failed,Headings: Appropriate nesting,1,Detected,Failed,ISO 14289-1:2014 7.4.2 test 1: heading hierarchy skips level,1,Detected,Yes,Detected/Detected/Detected,Detected consistently by all three validators.
G04,M04,G04_M04,Yes,Wrong marked-content association,Chapter opening topic list: swap marked-content associations of /LI 1477 0 R and /LI 1478 0 R without changing sibling order.,The first two chapter topics retain their tag positions but point to each other's content.,Verified programmatically,No visual difference detected,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Yes,Missed/Missed/Missed,Survived all automated validators despite independent mutation verification.
G04,M05,G04_M05,Yes,Internal MCID sequence reversal,"First chapter topic /LI has multiple MCIDs [18, 21] for label/body content.",One list item exposes its internal marked-content chunks in the wrong sequence.,Verified programmatically,No visual difference detected,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Yes,Missed/Missed/Missed,Survived all automated validators despite independent mutation verification.
G05,M01,G05_M01,Yes,Structural reading-order swap,Invoice table body: swap first two /TR children 47 0 R ('1 Super Kite') and 53 0 R ('2 Turbo Flyer').,The invoice line-item table is exposed with row 2 before row 1 while the visual table is unchanged.,Verified programmatically,No visual difference detected,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Yes,Missed/Missed/Missed,Survived all automated validators despite independent mutation verification.
G05,M02,G05_M02,Yes,Omit visible content from tag structure,Visible document heading 'INVOICE 2020-10' tagged as /H1.,The invoice identifier heading remains visible but is omitted from the assistive representation.,Verified programmatically,No visual difference detected,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Yes,Missed/Missed/Missed,Survived all automated validators despite independent mutation verification.
G05,M03,G05_M03,No,Incorrect heading level / skipped hierarchy,Not generated: no suitable heading-hierarchy target in G05.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not generated: no suitable heading-hierarchy target in G05.
G05,M04,G05_M04,Yes,Wrong marked-content association,Invoice table body: swap marked-content associations of first two /TR rows 47 0 R and 53 0 R without changing row order.,The first two table rows retain their structural positions but represent each other's visible row content.,Verified programmatically,No visual difference detected,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Passed/no automated failure,None,0,Missed,Yes,Missed/Missed/Missed,Survived all automated validators despite independent mutation verification.
G05,M05,G05_M05,No,Internal MCID sequence reversal,Not generated: no suitable multi-MCID target in G05.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not generated: no suitable multi-MCID target in G05.
